unit_no,unit_title,page_range,subtopic_title,activity_type,page_no,learning_outcome_snippet
1,Mathematics,1-87,"Introduction of number 1,2,3, it's value and shape",Introduction,1,"Introduction of number 1,2,3, it's value and shape"
1,Mathematics,1-87,"Introduction of number 4,5,6, it's value and shape",Introduction,2,"Introduction of number 4,5,6, it's value and shape"
1,Mathematics,1-87,"Introduction of number 7,8,9 it's value and shape",Introduction,3,"Introduction of number 7,8,9 it's value and shape"
1,Mathematics,1-87,Practice and review of numbers (1-9),Review,4,Practice and review of numbers (1-9)
1,Mathematics,1-87,Review of numbers (1-9) value and shape,Review,5,Review of numbers (1-9) value and shape
1,Mathematics,1-87,"Introduction of number 10,11,12 it's value and shape",Introduction,6,"Introduction of number 10,11,12 it's value and shape"
1,Mathematics,1-87,"Introduction of number 13,14,15 it's value and shape",Introduction,7,"Introduction of number 13,14,15 it's value and shape"
1,Mathematics,1-87,"Introduction of number 16,17,18 it's value and shape",Introduction,8,"Introduction of number 16,17,18 it's value and shape"
1,Mathematics,1-87,"Introduction of number 19,20,21 it's value and shape",Introduction,9,"Introduction of number 19,20,21 it's value and shape"
1,Mathematics,1-87,Practice and review of numbers (11-20),Review,10,Practice and review of numbers (11-20)
1,Mathematics,1-87,Review of numbers (11-20) value and shape,Review,11,Review of numbers (11-20) value and shape
1,Mathematics,1-87,"Introduction of number 22,23,24 it's value and shape",Introduction,12,"Introduction of number 22,23,24 it's value and shape"
1,Mathematics,1-87,"Introduction of number 25,26,27 it's value and shape",Introduction,13,"Introduction of number 25,26,27 it's value and shape"
1,Mathematics,1-87,"Introduction of number 28,29,30 it's value and shape",Introduction,14,"Introduction of number 28,29,30 it's value and shape"
1,Mathematics,1-87,Concept of up and down,Introduction,15,Concept of up and down
1,Mathematics,1-87,Concept of left and right,Introduction,16,Concept of left and right
1,Mathematics,1-87,Concept of counting with blocks,Introduction,17,Concept of counting with blocks
1,Mathematics,1-87,Practice and review of numbers in blocks (21 to 30),Review,18,Practice and review of numbers in blocks (21 to 30)
1,Mathematics,1-87,"Review of numbers in blocks, value and shape",Review,19,"Review of numbers in blocks, value and shape"
1,Mathematics,1-87,Practice of numbers in blocks (31 to 40),Practice,20,Practice of numbers in blocks (31 to 40)
1,Mathematics,1-87,"Review of number in blocks, value and shape",Review,21,"Review of number in blocks, value and shape"
1,Mathematics,1-87,Practice and review of numbers in blocks (41 to 50),Review,22,Practice and review of numbers in blocks (41 to 50)
1,Mathematics,1-87,"Review of number in blocks, value and shape",Review,23,"Review of number in blocks, value and shape"
1,Mathematics,1-87,"Concept of long, longer and longest",Introduction,24,"Concept of long, longer and longest"
1,Mathematics,1-87,"Review of short, shorter and shortest",Review,25,"Review of short, shorter and shortest"
1,Mathematics,1-87,Activity of missing number,Practice,26,Activity of missing number
1,Mathematics,1-87,Activity of missing number,Practice,27,Activity of missing number
1,Mathematics,1-87,Activity of missing number,Practice,28,Activity of missing number
1,Mathematics,1-87,Concept of backward counting,Introduction,29,Concept of backward counting
1,Mathematics,1-87,Practice of fifty,Practice,30,Practice of fifty
1,Mathematics,1-87,Practice and review of numbers (1-50),Review,31,Practice and review of numbers (1-50)
1,Mathematics,1-87,"Concept of heavy, heavier and heaviest",Introduction,32,"Concept of heavy, heavier and heaviest"
1,Mathematics,1-87,"Concept of light, lighter and lightest",Introduction,33,"Concept of light, lighter and lightest"
1,Mathematics,1-87,Practice of number and spelling (1 to 10),Practice,34,Practice of number and spelling (1 to 10)
1,Mathematics,1-87,Review of numbers spelling (11 to 20),Review,35,Review of numbers spelling (11 to 20)
1,Mathematics,1-87,Introduction of ordinal numbers,Introduction,36,Introduction of ordinal numbers
1,Mathematics,1-87,Identification of ordinal number and numerical presentation,Identification,37,Identification of ordinal number and numerical presentation
1,Mathematics,1-87,Review of ordinal numbers.,Review,38,Review of ordinal numbers.
1,Mathematics,1-87,Review of ordinal numbers.,Review,39,Review of ordinal numbers.
1,Mathematics,1-87,"Concept of big, bigger and biggest",Introduction,40,"Concept of big, bigger and biggest"
1,Mathematics,1-87,"Concept of small, smaller and smallest",Introduction,41,"Concept of small, smaller and smallest"
1,Mathematics,1-87,introduction of addition,Introduction,42,introduction of addition
1,Mathematics,1-87,Addition,Introduction,43,Addition
1,Mathematics,1-87,Addition,Introduction,44,Addition
1,Mathematics,1-87,Review of addition,Review,45,Review of addition
1,Mathematics,1-87,Addition,Introduction,46,Addition
1,Mathematics,1-87,Addition,Introduction,47,Addition
1,Mathematics,1-87,Practice of addition,Practice,48,Practice of addition
1,Mathematics,1-87,Introduction of adding zero,Introduction,49,Introduction of adding zero
1,Mathematics,1-87,Introduction of adding zero,Introduction,50,Introduction of adding zero
